course,lng,lat,Estblsh,Age_yrs,Mn_prtc,Mn_vlnt
,,,,,,
aylesbury,-0.826635,51.830474,02/11/2013,5.4,142.8,12.7
,,,,,,
aliceholt,-0.839499,51.168614,17/11/2012,6.3,225.9,21.2
,,,,,,
hogmoorinclosure,-0.875918,51.111669,10/03/2018,1,149,16.8
,,,,,,
meltonmowbray,-0.878238,52.778801,10/01/2015,4.2,133.7,14.3
,,,,,,
dintonpastures,-0.88004,51.440278,14/07/2018,0.7,185.7,21.4
,,,,,,
northampton,-0.888648,52.249113,05/05/2012,6.9,326.2,18.6
,,,,,,
goole,-0.890649,53.71052,30/05/2015,3.8,108.2,15.7
,,,,,,
woodley,-0.903239,51.455511,13/10/2012,6.4,249.6,20.5
,,,,,,
henleyonthames,-0.9193,51.532014,01/07/2017,1.7,67.8,13.4
,,,,,,
marketharborough,-0.926778,52.475213,25/04/2015,3.9,252.3,26.2
,,,,,,
reading,-0.933795,51.464007,12/09/2009,9.5,244.6,15.2
,,,,,,
sixfieldsupton,-0.942206,52.228535,24/02/2018,1,232.4,30.3
,,,,,,
queenelizabeth,-0.972805,50.955399,18/05/2013,5.8,79.4,12.8
,,,,,,
buckingham,-0.977526,51.997697,17/05/2014,4.8,187.5,14.3
,,,,,,
havant,-0.977762,50.877857,16/06/2012,6.7,200.2,19.2
,,,,,,
springhill,-1.0072285,51.893161,09/06/2018,0.8,13,10.8
,,,,,,
prospect,-1.007595,51.448542,05/05/2018,0.9,180.7,23.2
,,,,,,
heslington,-1.018006,53.949318,13/01/2018,1.2,302.5,26.4
,,,,,,
clumberpark,-1.058507,53.268396,29/06/2013,5.7,206.5,16.1
,,,,,,
southsea,-1.064644,50.781954,05/10/2013,5.4,287.8,14
,,,,,,
newearswick,-1.07776,53.990218,21/04/2018,0.9,83.2,12.7
,,,,,,
selby,-1.078377,53.751705,16/12/2017,1.2,137.5,14.6
,,,,,,
redcar,-1.079256,54.613964,28/04/2012,6.9,129,20.8
,,,,,,
basingstoke,-1.081047,51.2589,05/07/2008,10.7,277.7,20.4
,,,,,,
